market,strategy,trades,total_return_pct,max_drawdown_pct,win_rate_pct,sharpe
KRW-ORCA,breakout_close_k05,305,-57.4254266047282,-60.86262585945978,39.733333333333334,-2.14148045040649
KRW-VIRTUAL,sma_cross_20_80,22,-11.887691178174553,-31.865048249726392,46.85466377440347,-0.18602199812318906
KRW-VIRTUAL,ema_cross_12_48,41,-33.42973433303613,-48.479663640818835,45.87786259541985,-1.3984453815890954
KRW-VIRTUAL,trend_sma50_200,53,-3.6507386010546705,-34.49490917928234,47.00598802395209,0.03766036350412309
KRW-VIRTUAL,donchian_20_10,40,-26.444309789341702,-45.103027218475866,46.660808435852374,-0.9652288037054371
KRW-VIRTUAL,momentum_24_120,91,-38.41186359372427,-41.15462956909395,44.80431848852901,-2.2501367520963624
KRW-VIRTUAL,rsi_reversion_30_55,57,-23.57777944784264,-37.3839947969975,45.37264537264537,-1.0679221017765719
KRW-VIRTUAL,bb_reversion_20_2,51,-8.756111068053418,-26.400117809333345,44.576877234803334,-0.28213793148134175
KRW-VIRTUAL,breakout_close_k05,276,-21.965112529623777,-30.338485243904767,43.154761904761905,-1.3704964449849195
KRW-KITE,sma_cross_20_80,22,42.88488044810066,-39.98801300052987,42.99116997792494,1.463319197853885
KRW-KITE,ema_cross_12_48,38,43.404744691407046,-45.191780850842036,43.15492957746479,1.4755430166074106
KRW-KITE,trend_sma50_200,77,-10.438318573498773,-50.00617442762607,43.67034834324554,0.20871996486958663
KRW-KITE,donchian_20_10,43,-8.586076521101393,-41.89295850824145,43.07574598316756,0.2925136781840679
KRW-KITE,momentum_24_120,125,-35.98864198128435,-52.04600167098135,43.776824034334766,-0.7263462302042882
KRW-KITE,rsi_reversion_30_55,47,61.97316290555801,-41.32650516530349,42.0125786163522,2.11738799403159
KRW-KITE,bb_reversion_20_2,36,17.028553861447215,-31.804092754664126,38.63636363636363,1.0228951512617885
KRW-KITE,breakout_close_k05,339,-68.81167092404309,-69.05543327495229,38.34586466165413,-5.1018438913422015
KRW-CHZ,sma_cross_20_80,21,5.597830277660609,-35.597141281233924,46.04966139954853,0.5671495479332656
KRW-CHZ,ema_cross_12_48,34,26.567337737594833,-28.797628808718912,45.53956834532374,1.3706693202746734
KRW-CHZ,trend_sma50_200,46,-3.441178749396534,-18.43967424491225,46.727549467275495,-0.022912386394615254
KRW-CHZ,donchian_20_10,43,-27.176597045189254,-36.429881077830004,43.81121994657168,-1.2722158999260682
KRW-CHZ,momentum_24_120,99,-6.386123922964337,-25.19613916835247,45.18413597733711,-0.1281370327491424
KRW-CHZ,rsi_reversion_30_55,44,-35.3053041851746,-40.16361820725699,43.764434180138565,-2.6042578583809948
KRW-CHZ,bb_reversion_20_2,49,-14.207279034590636,-25.983439591856495,45.82309582309582,-0.7903933164922697
KRW-CHZ,breakout_close_k05,307,-50.24360364726959,-51.399873459477604,39.3048128342246,-5.417083816060119
KRW-BIO,sma_cross_20_80,21,31.283521257263637,-48.72803285203599,42.655601659751035,1.2424556683781038
KRW-BIO,ema_cross_12_48,34,56.807672189084954,-46.36056696836399,42.90780141843972,1.6474004785627117
KRW-BIO,trend_sma50_200,54,12.074464542039776,-51.07781755101512,42.244224422442244,0.83124213103479
KRW-BIO,donchian_20_10,32,97.34158149271121,-42.37627703613427,42.95499021526419,2.2047038662050107
KRW-BIO,momentum_24_120,90,37.12046017490107,-39.68927131148576,42.589928057553955,1.345708469346383
KRW-BIO,rsi_reversion_30_55,53,-46.99830704811703,-51.457273821439856,42.833333333333336,-1.9826369879445016
KRW-BIO,bb_reversion_20_2,46,-53.09245128088885,-56.798283057313725,41.43019296254257,-3.0397155337353268
KRW-BIO,breakout_close_k05,260,-2.557327914464047,-34.34734138248263,37.5,0.27190737438645046
KRW-CVC,sma_cross_20_80,27,-29.329289745036526,-30.57547421165131,40.0665004156276,-1.5953296250041296
KRW-CVC,ema_cross_12_48,48,-45.08993905123809,-46.465091580362824,39.03878583473862,-2.7500308604191974
KRW-CVC,trend_sma50_200,55,-23.846371571273174,-32.42208139358218,39.02439024390244,-1.6313039938938525
KRW-CVC,donchian_20_10,36,-40.73417313093335,-43.36244939469941,39.690222652468535,-2.385852967207647
KRW-CVC,momentum_24_120,100,-41.06189428502379,-41.43623102816253,36.84210526315789,-2.771751763226616
KRW-CVC,rsi_reversion_30_55,51,12.485081903725547,-16.862745098039213,43.67436743674367,1.0595923142727115
KRW-CVC,bb_reversion_20_2,59,1.9728404878135875,-16.615684310899525,45.20725388601036,0.33876398383929573
KRW-CVC,breakout_close_k05,298,-55.00781506416399,-55.46151196400315,31.68044077134986,-5.811229590829936
KRW-IP,sma_cross_20_80,18,-48.04224389216161,-57.55545540529634,41.06951871657754,-2.864184681607493
KRW-IP,ema_cross_12_48,36,-52.443525634908084,-71.38480238182647,41.458106637649614,-2.9705037465824664
KRW-IP,trend_sma50_200,18,3.0087603192734624,-14.613669453833555,41.21863799283154,0.41950112561183245
KRW-IP,donchian_20_10,31,-20.57110477082048,-59.32846981764972,40.719424460431654,-0.7380703514062843
